2001,Пелина Ирина Николаевна,собрание избирателей по месту работы
2001,Изуграфова Светлана Геннадиевна,собрание избирателей по месту работы
2001,Толочко Ирина Анатольевна,"Региональное отделение в Краснодарском крае Всероссийской политической партии ""Партия пенсионеров России"""
2001,Билань Роман Васильевич,"Краснодарское местное отделение Краснодарского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
2001,Боглаевская Ольга Станиславовна,собрание избирателей по месту работы
2001,Вахонина Светлана Юрьевна,собрание избирателей по месту работы
2001,Дорошенко Денис Евгеньевич,"Краснодарское краевое отделение политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""
2001,Курмаз Вадим Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в Краснодарском крае
2001,Лебединская Юлия Евгеньевна,собрание избирателей по месту работы
2001,Нанкуева Виктория Олеговна,Краснодарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
2001,Писаренко Наталья Николаевна,собрание избирателей по месту работы
2001,Посмитная Ольга Александровна,собрание избирателей по месту работы
2001,Пятайкина Галина Алексеевна,собрание избирателей по месту работы
2001,Чекмезова Наталья Николаевна,"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в Краснодарском крае"
2001,Шапарева Елена Ивановна,"Региональное отделение Всероссийской политической партии ""Гражданская Сила"" в Краснодарском крае"
2001,Шеремета Ирина Викторовна,собрание избирателей по месту работы
2002,Чичиль Валентина Васильевна,собрание избирателей по месту работы
2002,Соловьева Татьяна Александровна,собрание избирателей по месту работы
2002,Морозевич Наталья Васильевна,собрание избирателей по месту работы
2002,Ароянц Аэлита Акоповна,собрание избирателей по месту работы
2002,Ароянц Эдуард Акопович,"Краснодарское местное отделение Краснодарского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
2002,Голдабин Дмитрий Алексеевич,собрание избирателей по месту работы
2002,Дорошенко Полина Чингизовна,"Краснодарское краевое отделение политической партии ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""
2002,Морозевич Юлия Сергеевна,Краснодарское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
2002,Пузыревская Елена Александровна,"Региональное отделение Всероссийской политической партии ""Гражданская Сила"" в Краснодарском крае"
2002,Резниченко Светлана Ивановна,собрание избирателей по месту работы
2002,Таиров Тагир Гаджиевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в Краснодарском крае
2002,Третьяченко Елена Михайловна,собрание избирателей по месту работы
2002,Угай Константин Виссарионович,собрание избирателей по месту работы
2002,Фадеева Таиса Петровна,собрание избирателей по месту работы
2002,Царанова Надежда Николаевна,"Общероссийская общественная организация  ""Российский Союз ветеранов Афганистана"""
2002,Чегаев Валерий Сергеевич,"Региональное отделение Политической партии ""Казачья партия Российской Федерации"" в Краснодарском крае"
