π ”» ‡,% Á‡  œ–‘
2001,11.35
2002,9.90
2003,12.02
2004,16.35
2005,10.54
2006,20.75
2007,8.68
2008,18.37
2094,0.00
2096,0.00
2009,34.46
2010,26.15
2011,5.45
2012,25.56
2013,26.49
2014,27.37
2015,28.66
2016,21.88
2017,33.65
2018,21.39
2099,0.00
2019,29.60
2020,24.60
2021,20.51
2022,20.35
2033,24.19
2034,24.29
2035,19.34
2036,12.29
2037,17.35
2023,30.12
2024,29.63
2025,22.48
2026,14.74
2027,26.91
2028,30.18
2029,22.38
2030,30.46
2031,29.81
2032,28.29
2038,32.91
2039,30.28
2040,32.95
2041,23.36
2042,30.39
2043,35.51
2044,36.99
2061,31.71
2050,32.60
2051,31.05
2052,30.52
2053,31.56
2054,35.25
2056,29.53
2058,29.91
2045,22.83
2046,30.28
2047,25.84
2048,30.63
2049,29.48
2055,19.35
2057,20.53
2060,22.00
2101,27.62
2102,32.90
2103,30.81
2104,34.31
2105,35.77
2109,19.35
2110,25.97
2111,37.72
2106,25.84
2107,17.19
2108,21.58
2112,9.45
2113,27.34
2114,32.62
2115,14.88
2116,21.84
2172,19.81
2117,22.70
2118,26.12
2119,26.26
2120,20.08
2121,11.69
2122,11.03
2123,13.69
2165,25.07
2170,30.31
2134,2.48
2135,2.07
2136,26.46
2137,31.33
2138,1.86
2139,27.10
2140,30.45
2141,15.16
2142,32.11
2143,31.35
2144,27.09
2145,35.30
2146,38.71
2147,17.52
2148,33.33
2166,37.12
2149,18.10
2150,20.35
2151,23.71
2152,11.18
2153,27.62
2154,24.22
2175,28.47
2176,10.56
2182,24.68
2155,22.96
2156,31.89
2157,25.44
2158,22.82
2159,17.12
2164,17.61
2167,29.60
2183,25.61
2184,23.58
2185,18.94
2124,18.76
2125,22.85
2126,8.13
2127,12.13
2128,18.85
2130,30.73
2171,9.98
2173,6.83
2177,15.58
2129,11.05
2131,10.03
2132,11.99
2168,17.62
2169,13.96
2178,22.88
2180,9.13
2181,10.80
2133,9.06
2160,5.89
2161,6.04
2162,6.99
2163,13.86
2174,7.02
2179,7.66
2186,9.48
2187,17.11
2207,27.29
2208,18.39
2209,18.71
2210,22.64
2212,26.77
2213,28.76
2264,29.05
2268,28.62
2211,29.07
2214,31.55
2215,44.28
2216,43.05
2217,29.34
2218,30.11
2219,31.05
2220,28.63
2221,26.82
2222,31.34
2223,17.39
2224,31.16
2225,30.62
2226,27.24
2227,25.83
2228,6.87
2229,24.40
2230,15.72
2231,26.64
2232,14.15
2233,17.16
2234,23.26
2235,19.45
2236,22.67
2237,9.76
2238,31.06
2239,27.78
2240,16.18
2241,40.93
2242,35.70
2243,36.29
2244,35.15
2245,35.12
2266,41.15
2246,27.44
2247,32.62
2248,27.04
2249,29.09
2250,12.70
2251,19.93
2252,22.54
2253,15.20
2254,12.95
2299,2.88
2201,40.16
2202,32.99
2203,34.35
2204,33.19
2205,24.22
2206,16.84
2263,33.33
2265,30.75
2267,26.19
2255,22.70
2256,25.09
2257,29.02
2258,13.64
2259,17.64
2260,24.72
2261,28.46
2262,23.85
6001,29.39
6002,33.09
6003,32.07
6004,33.94
6005,19.97
6006,17.45
6007,17.09
6008,17.98
6018,21.43
6009,14.84
6010,17.71
6011,11.30
6012,17.51
6013,26.57
6014,31.61
6056,11.60
6057,12.97
6058,9.36
6044,30.30
6046,34.74
6047,28.96
6048,23.29
6049,26.13
6050,26.40
6051,28.09
6055,30.74
6069,34.58
6099,16.23
6036,26.36
6037,25.70
6038,24.71
6039,29.18
6041,27.00
6045,34.27
6054,27.40
6065,17.82
6066,26.47
6027,23.68
6028,28.15
6029,7.38
6030,28.38
6031,11.82
6052,6.35
6060,19.23
6061,11.24
6062,22.60
6015,20.97
6016,9.57
6017,29.77
6026,13.23
6032,18.81
6033,20.42
6034,30.07
6053,22.43
6097,25.42
6098,5.97
6019,32.74
6020,31.29
6021,13.54
6022,34.23
6023,10.22
6024,26.17
6025,26.55
6059,30.48
6035,9.20
6040,10.30
6042,24.49
6043,26.78
6063,32.63
6064,46.67
6067,39.89
6068,35.44
2301,27.31
2302,24.38
2303,29.27
2304,24.48
2305,28.16
2306,23.37
2307,30.65
2308,26.03
2309,28.82
2393,12.42
2310,31.79
2311,21.54
2312,33.33
2313,25.74
2314,32.76
2315,28.96
2316,25.18
2319,12.96
2322,29.32
2394,10.00
2397,0.00
2398,0.00
2399,0.00
2317,30.84
2318,24.94
2320,30.99
2321,33.25
2323,28.34
2324,32.93
2325,34.43
2326,29.44
2327,29.56
2328,21.56
2329,11.15
2330,23.97
2331,25.87
2332,30.46
2333,26.82
2335,27.49
2346,25.72
2352,19.52
2353,32.64
2334,25.23
2336,31.53
2337,19.63
2338,26.03
2339,26.99
2340,18.68
2341,15.03
2344,20.65
2345,19.42
2347,11.65
2395,9.09
2396,10.00
2342,23.26
2343,34.96
2348,13.68
2349,12.60
2350,28.76
2351,14.77
2354,9.96
2355,23.18
2356,24.60
